R2_Club Atlético Puerto Varas_CD Alemán de Concepción_11, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_12, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_13, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_14, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_15, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_16, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_17, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_18, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_19, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_20, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_21, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_22, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_23, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_24, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_25, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_26, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_27, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_28, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_29, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Alemán de Concepción_30, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_1, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_2, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_3, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_4, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_5, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_6, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_7, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_8, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_9, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_10, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_11, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_12, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_13, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_14, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_15, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_16, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_17, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_18, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_19, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_20, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_21, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_22, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_23, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_24, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_25, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_26, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_27, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_28, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_29, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Quilicura Basket_30, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_1, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_2, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_3, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_4, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_5, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_6, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_7, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_8, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_9, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_10, Holgura:0.0
R2_Club Atlético Puerto Varas_Estadio Palestino_11, Holgura:0.0
